VERSION 19c
Control_state [-]; ARDrone_state [-]; Time [s]; nd_seq_num [-];     AccX_raw [LSB]; AccY_raw [LSB]; AccZ_raw [LSB];     GyroX_raw [LSB]; GyroY_raw [LSB]; GyroZ_raw [LSB];

;navdata_time 755.750946;nd_seq 149920; raw_accs 2072; 2040; 2544; raw_gyros 0041; 0054;-007 ;phys_accs  20.933636; -94.676689; -952.217773;phys_gyros   0.128288; -0.019154;  0.029178; ; frame_size 3388;video_stream.frame_number 21482;  hdvideo_stream.frame_number: 0 ; 1431377653.665217 

;navdata_time 755.755798;nd_seq 149921; raw_accs 2072; 2040; 2548; raw_gyros 0041; 0052;-006 ;phys_accs  19.297258; -93.737579; -953.144531;phys_gyros   0.077160;  0.007414; -0.008243; ; frame_size 3388;video_stream.frame_number 21482;  hdvideo_stream.frame_number: 0 ; 1431377653.669944 

;navdata_time 755.761016;nd_seq 149922; raw_accs 2072; 2040; 2548; raw_gyros 0042; 0054;-007 ;phys_accs  18.721237; -94.157372; -955.452148;phys_gyros   0.083377; -0.009996;  0.025624; ; frame_size 3388;video_stream.frame_number 21482;  hdvideo_stream.frame_number: 0 ; 1431377653.674929 

;navdata_time 755.765869;nd_seq 149923; raw_accs 2072; 2040; 2548; raw_gyros 0041; 0055;-008 ;phys_accs  19.379250; -94.317970; -958.553711;phys_gyros   0.014082; -0.007718;  0.014287; ; frame_size 3508;video_stream.frame_number 21483;  hdvideo_stream.frame_number: 0 ; 1431377653.679745 

;navdata_time 755.770874;nd_seq 149924; raw_accs 2076; 2040; 2548; raw_gyros 0041; 0054;-008 ;phys_accs  22.221956; -94.305573; -960.212402;phys_gyros   0.026488; -0.057028;  0.045241; ; frame_size 3508;video_stream.frame_number 21483;  hdvideo_stream.frame_number: 0 ; 1431377653.686050 

