VERSION 19c
Control_state [-]; ARDrone_state [-]; Time [s]; nd_seq_num [-];     AccX_raw [LSB]; AccY_raw [LSB]; AccZ_raw [LSB];     GyroX_raw [LSB]; GyroY_raw [LSB]; GyroZ_raw [LSB];

;navdata_time 1928.924865;nd_seq 383482; raw_accs 2072; 2048; 2544; raw_gyros 0048; 0054;-006 ;phys_accs  19.652958; -108.959908; -951.768555;phys_gyros  -0.030283;  0.020139;  0.036361; ; frame_size 3698;video_stream.frame_number 48998;  hdvideo_stream.frame_number: 0 ; 1431378826.960149 

;navdata_time 1928.929779;nd_seq 383483; raw_accs 2072; 2048; 2544; raw_gyros 0049; 0053;-005 ;phys_accs  19.656984; -110.810745; -951.974609;phys_gyros  -0.048846;  0.021261; -0.008358; ; frame_size 3698;video_stream.frame_number 48998;  hdvideo_stream.frame_number: 0 ; 1431378826.967615 

;navdata_time 1928.934844;nd_seq 383484; raw_accs 2076; 2048; 2544; raw_gyros 0048; 0055;-006 ;phys_accs  21.228003; -111.237946; -951.926758;phys_gyros  -0.061509;  0.010743; -0.058054; ; frame_size 3621;video_stream.frame_number 48999;  hdvideo_stream.frame_number: 0 ; 1431378826.970709 

;navdata_time 1928.939819;nd_seq 383485; raw_accs 2076; 2044; 2544; raw_gyros 0048; 0054;-006 ;phys_accs  23.173885; -109.197876; -952.153809;phys_gyros  -0.041140; -0.008879; -0.084446; ; frame_size 3621;video_stream.frame_number 48999;  hdvideo_stream.frame_number: 0 ; 1431378826.974927 

;navdata_time 1928.944824;nd_seq 383486; raw_accs 2076; 2044; 2544; raw_gyros 0050; 0051;-006 ;phys_accs  26.743494; -105.798859; -952.218262;phys_gyros  -0.032210;  0.007167; -0.060262; ; frame_size 3621;video_stream.frame_number 48999;  hdvideo_stream.frame_number: 0 ; 1431378826.980023 

