VERSION 19c
Control_state [-]; ARDrone_state [-]; Time [s]; nd_seq_num [-];     AccX_raw [LSB]; AccY_raw [LSB]; AccZ_raw [LSB];     GyroX_raw [LSB]; GyroY_raw [LSB]; GyroZ_raw [LSB];

;navdata_time 1419.386840;nd_seq 282094; raw_accs 2072; 2044; 2540; raw_gyros 0049; 0053;-007 ;phys_accs  20.411804; -101.431587; -943.636719;phys_gyros  -0.002271;  0.029746; -0.016108; ; frame_size 3997;video_stream.frame_number 40500;  hdvideo_stream.frame_number: 0 ; 1431378317.324675 

;navdata_time 1419.391784;nd_seq 282095; raw_accs 2072; 2044; 2544; raw_gyros 0047; 0055;-008 ;phys_accs  20.655689; -100.758270; -944.653320;phys_gyros   0.008286;  0.003860;  0.072951; ; frame_size 3997;video_stream.frame_number 40500;  hdvideo_stream.frame_number: 0 ; 1431378317.327213 

;navdata_time 1419.396942;nd_seq 282096; raw_accs 2072; 2044; 2540; raw_gyros 0048; 0054;-006 ;phys_accs  20.414694; -101.374863; -945.590332;phys_gyros   0.032675; -0.006354;  0.047567; ; frame_size 3997;video_stream.frame_number 40500;  hdvideo_stream.frame_number: 0 ; 1431378317.339747 

;navdata_time 1419.401977;nd_seq 282097; raw_accs 2072; 2044; 2544; raw_gyros 0048; 0054;-006 ;phys_accs  19.236568; -102.780136; -949.888184;phys_gyros   0.090623; -0.021760;  0.043171; ; frame_size 3997;video_stream.frame_number 40500;  hdvideo_stream.frame_number: 0 ; 1431378317.344914 

;navdata_time 1419.407379;nd_seq 282098; raw_accs 2072; 2044; 2544; raw_gyros 0047; 0055;-007 ;phys_accs  19.699640; -102.087959; -949.375977;phys_gyros   0.049454; -0.051233;  0.001721; ; frame_size 3997;video_stream.frame_number 40500;  hdvideo_stream.frame_number: 0 ; 1431378317.354480 

;navdata_time 1419.412017;nd_seq 282099; raw_accs 2072; 2044; 2544; raw_gyros 0046; 0055;-006 ;phys_accs  19.696775; -102.458046; -951.879395;phys_gyros   0.033346; -0.026560; -0.040299; ; frame_size 3997;video_stream.frame_number 40500;  hdvideo_stream.frame_number: 0 ; 1431378317.356819 

;navdata_time 1419.417083;nd_seq 282100; raw_accs 2072; 2044; 2544; raw_gyros 0047; 0054;-007 ;phys_accs  19.848429; -101.610199; -951.496582;phys_gyros  -0.021162; -0.071160;  0.002887; ; frame_size 3997;video_stream.frame_number 40500;  hdvideo_stream.frame_number: 0 ; 1431378317.357448 

