VERSION 19c
Control_state [-]; ARDrone_state [-]; Time [s]; nd_seq_num [-];     AccX_raw [LSB]; AccY_raw [LSB]; AccZ_raw [LSB];     GyroX_raw [LSB]; GyroY_raw [LSB]; GyroZ_raw [LSB];

;navdata_time 1371.156402;nd_seq 272491; raw_accs 2072; 2048; 2540; raw_gyros 0047; 0054;-007 ;phys_accs  19.482899; -109.865936; -947.074707;phys_gyros   0.061426; -0.003916;  0.030375; ; frame_size 2026;video_stream.frame_number 39054;  hdvideo_stream.frame_number: 0 ; 1431378269.088652 

;navdata_time 1371.161315;nd_seq 272492; raw_accs 2072; 2048; 2544; raw_gyros 0047; 0053;-006 ;phys_accs  19.827673; -109.889420; -946.248535;phys_gyros   0.036651; -0.007275;  0.050310; ; frame_size 2026;video_stream.frame_number 39054;  hdvideo_stream.frame_number: 0 ; 1431378269.131136 

;navdata_time 1371.166290;nd_seq 272493; raw_accs 2072; 2048; 2544; raw_gyros 0047; 0055;-005 ;phys_accs  19.683640; -109.890404; -947.672852;phys_gyros   0.014242; -0.016648;  0.020514; ; frame_size 2026;video_stream.frame_number 39054;  hdvideo_stream.frame_number: 0 ; 1431378269.131701 

;navdata_time 1371.171325;nd_seq 272494; raw_accs 2072; 2048; 2544; raw_gyros 0048; 0054;-005 ;phys_accs  19.673401; -110.029213; -951.134766;phys_gyros   0.005716;  0.000638; -0.053006; ; frame_size 1937;video_stream.frame_number 39055;  hdvideo_stream.frame_number: 0 ; 1431378269.142079 

;navdata_time 1371.176391;nd_seq 272495; raw_accs 2072; 2048; 2544; raw_gyros 0046; 0052;-007 ;phys_accs  19.647984; -109.983566; -951.514648;phys_gyros   0.011402; -0.026506; -0.086829; ; frame_size 1937;video_stream.frame_number 39055;  hdvideo_stream.frame_number: 0 ; 1431378269.142784 

;navdata_time 1371.181335;nd_seq 272496; raw_accs 2072; 2048; 2544; raw_gyros 0047; 0054;-007 ;phys_accs  19.566196; -110.069931; -954.151367;phys_gyros   0.030812;  0.012582; -0.063017; ; frame_size 1937;video_stream.frame_number 39055;  hdvideo_stream.frame_number: 0 ; 1431378269.143563 

;navdata_time 1371.186767;nd_seq 272497; raw_accs 2072; 2048; 2544; raw_gyros 0049; 0055;-007 ;phys_accs  19.708656; -110.056931; -951.854492;phys_gyros   0.030224;  0.000222;  0.005592; ; frame_size 1937;video_stream.frame_number 39055;  hdvideo_stream.frame_number: 0 ; 1431378269.144364 

;navdata_time 1371.191558;nd_seq 272498; raw_accs 2072; 2048; 2544; raw_gyros 0046; 0052;-007 ;phys_accs  19.668682; -110.046074; -951.965332;phys_gyros   0.027661;  0.017253;  0.048796; ; frame_size 1937;video_stream.frame_number 39055;  hdvideo_stream.frame_number: 0 ; 1431378269.145098 

;navdata_time 1371.196533;nd_seq 272499; raw_accs 2072; 2048; 2544; raw_gyros 0049; 0054;-007 ;phys_accs  19.690922; -110.069656; -951.627930;phys_gyros   0.061883;  0.004606;  0.057101; ; frame_size 1937;video_stream.frame_number 39055;  hdvideo_stream.frame_number: 0 ; 1431378269.145771 

;navdata_time 1371.201660;nd_seq 272500; raw_accs 2072; 2048; 2544; raw_gyros 0046; 0055;-008 ;phys_accs  19.685846; -110.032402; -951.429199;phys_gyros   0.024501; -0.011961;  0.049384; ; frame_size 1937;video_stream.frame_number 39055;  hdvideo_stream.frame_number: 0 ; 1431378269.146399 

;navdata_time 1371.206542;nd_seq 272501; raw_accs 2072; 2048; 2544; raw_gyros 0047; 0053;-006 ;phys_accs  19.634102; -110.044746; -952.754395;phys_gyros   0.064283; -0.009864;  0.016266; ; frame_size 1992;video_stream.frame_number 39056;  hdvideo_stream.frame_number: 0 ; 1431378269.147166 

;navdata_time 1371.211578;nd_seq 272502; raw_accs 2072; 2048; 2544; raw_gyros 0047; 0054;-006 ;phys_accs  19.672356; -110.015678; -951.844727;phys_gyros  -0.006886; -0.022748;  0.023208; ; frame_size 1992;video_stream.frame_number 39056;  hdvideo_stream.frame_number: 0 ; 1431378269.147890 

;navdata_time 1371.216796;nd_seq 272503; raw_accs 2072; 2048; 2544; raw_gyros 0047; 0055;-007 ;phys_accs  19.649643; -109.991859; -952.112305;phys_gyros   0.005526; -0.018343; -0.003429; ; frame_size 1992;video_stream.frame_number 39056;  hdvideo_stream.frame_number: 0 ; 1431378269.152794 

;navdata_time 1371.221740;nd_seq 272504; raw_accs 2072; 2044; 2544; raw_gyros 0047; 0054;-007 ;phys_accs  19.690300; -108.450729; -951.954102;phys_gyros   0.008962; -0.035675;  0.003047; ; frame_size 1992;video_stream.frame_number 39056;  hdvideo_stream.frame_number: 0 ; 1431378269.154853 

;navdata_time 1371.226867;nd_seq 272505; raw_accs 2072; 2048; 2544; raw_gyros 0048; 0054;-006 ;phys_accs  19.709263; -108.089615; -951.756836;phys_gyros   0.004391; -0.035791; -0.002908; ; frame_size 1992;video_stream.frame_number 39056;  hdvideo_stream.frame_number: 0 ; 1431378269.167966 

;navdata_time 1371.231750;nd_seq 272506; raw_accs 2072; 2048; 2544; raw_gyros 0049; 0054;-005 ;phys_accs  19.733440; -106.499466; -952.210449;phys_gyros   0.089480; -0.036549; -0.020703; ; frame_size 1992;video_stream.frame_number 39056;  hdvideo_stream.frame_number: 0 ; 1431378269.168590 

