VERSION 19c
Control_state [-]; ARDrone_state [-]; Time [s]; nd_seq_num [-];     AccX_raw [LSB]; AccY_raw [LSB]; AccZ_raw [LSB];     GyroX_raw [LSB]; GyroY_raw [LSB]; GyroZ_raw [LSB];

;navdata_time 824.118988;nd_seq 163550; raw_accs 2072; 2044; 2544; raw_gyros 0042; 0053;-006 ;phys_accs  19.746241; -102.011124; -953.783691;phys_gyros   0.044726;  0.003014;  0.032804; ; frame_size 4233;video_stream.frame_number 22902;  hdvideo_stream.frame_number: 0 ; 1431377722.034631 

;navdata_time 824.123931;nd_seq 163551; raw_accs 2072; 2040; 2544; raw_gyros 0042; 0052;-005 ;phys_accs  19.805340; -100.595535; -953.422852;phys_gyros   0.054772;  0.057954; -0.051994; ; frame_size 4233;video_stream.frame_number 22902;  hdvideo_stream.frame_number: 0 ; 1431377722.039423 

;navdata_time 824.128784;nd_seq 163552; raw_accs 2072; 2044; 2544; raw_gyros 0043; 0054;-008 ;phys_accs  19.823099; -100.233597; -953.026367;phys_gyros   0.027700;  0.024436; -0.044616; ; frame_size 4233;video_stream.frame_number 22902;  hdvideo_stream.frame_number: 0 ; 1431377722.045049 

;navdata_time 824.133789;nd_seq 163553; raw_accs 2072; 2040; 2544; raw_gyros 0042; 0052;-006 ;phys_accs  19.904898; -97.079338; -952.783691;phys_gyros   0.076815;  0.045082; -0.036560; ; frame_size 4347;video_stream.frame_number 22903;  hdvideo_stream.frame_number: 0 ; 1431377722.049332 

;navdata_time 824.138854;nd_seq 163554; raw_accs 2072; 2044; 2544; raw_gyros 0043; 0054;-007 ;phys_accs  19.890968; -98.586472; -951.858398;phys_gyros   0.052925;  0.006865;  0.011869; ; frame_size 4347;video_stream.frame_number 22903;  hdvideo_stream.frame_number: 0 ; 1431377722.054461 

;navdata_time 824.143859;nd_seq 163555; raw_accs 2072; 2044; 2544; raw_gyros 0042; 0052;-005 ;phys_accs  19.904720; -98.008736; -951.140625;phys_gyros   0.082854;  0.005783;  0.015869; ; frame_size 4347;video_stream.frame_number 22903;  hdvideo_stream.frame_number: 0 ; 1431377722.059484 

;navdata_time 824.149139;nd_seq 163556; raw_accs 2072; 2044; 2548; raw_gyros 0042; 0054;-006 ;phys_accs  19.821117; -101.133957; -953.457520;phys_gyros   0.061829;  0.011256; -0.012025; ; frame_size 4347;video_stream.frame_number 22903;  hdvideo_stream.frame_number: 0 ; 1431377722.065011 

;navdata_time 824.153930;nd_seq 163557; raw_accs 2072; 2044; 2544; raw_gyros 0045; 0054;-008 ;phys_accs  19.779453; -102.831940; -953.535156;phys_gyros   0.079887; -0.010754; -0.021711; ; frame_size 4347;video_stream.frame_number 22903;  hdvideo_stream.frame_number: 0 ; 1431377722.069713 

